,Time_s[s],RMS[A]
1,2022-07-17 0:01,1.971987844
2,2022-07-17 0:06,1.959802747
3,2022-07-17 0:07,1.960801601
4,2022-07-17 0:12,1.960694194
5,2022-07-17 0:14,1.962617636
6,2022-07-17 0:19,1.9613235
7,2022-07-17 0:23,1.954409361
8,2022-07-17 0:24,1.952175736
9,2022-07-17 0:28,1.959304571
10,2022-07-17 0:30,1.961622119
11,2022-07-17 0:34,1.959363818
12,2022-07-17 0:36,1.947363615
13,2022-07-17 0:40,1.958903074
14,2022-07-17 0:42,1.954979062
15,2022-07-17 0:44,1.944407344
16,2022-07-17 0:51,1.962424397
17,2022-07-17 1:05,1.945853233
18,2022-07-17 1:09,1.932983637
19,2022-07-17 1:10,1.95289731
20,2022-07-17 1:15,1.939817786
21,2022-07-17 1:16,1.94483614
22,2022-07-17 1:18,1.960595131
23,2022-07-17 1:20,1.951190948
24,2022-07-17 1:25,1.948882103
25,2022-07-17 1:29,1.946413517
26,2022-07-17 1:31,1.962118626
27,2022-07-17 1:32,1.9655931
28,2022-07-17 1:38,1.928538442
29,2022-07-17 1:41,1.966302276
30,2022-07-17 1:43,1.962213278
31,2022-07-17 1:48,1.953947663
32,2022-07-17 1:50,1.952352166
33,2022-07-17 1:55,1.957061648
34,2022-07-17 1:56,1.949989676
35,2022-07-17 1:58,1.945803285
36,2022-07-17 2:02,1.950026751
37,2022-07-17 2:04,1.94098866
38,2022-07-17 2:05,1.947272897
39,2022-07-17 2:07,1.950201154
40,2022-07-17 2:12,1.942835569
41,2022-07-17 2:14,1.931600809
42,2022-07-17 2:16,1.95863831
43,2022-07-17 2:21,1.953361273
44,2022-07-17 2:25,1.962120891
45,2022-07-17 2:27,1.966008306
46,2022-07-17 2:32,1.963355899
47,2022-07-17 2:39,1.947444558
48,2022-07-17 2:40,1.9527601
49,2022-07-17 2:43,1.94914031
50,2022-07-17 2:49,1.94642365
51,2022-07-17 2:51,1.929473758
52,2022-07-17 2:55,1.944971323
53,2022-07-17 2:58,1.939171314
54,2022-07-17 3:02,1.949730039
55,2022-07-17 3:07,1.952077389
56,2022-07-17 3:13,1.933095455
57,2022-07-17 3:14,1.931385398
58,2022-07-17 3:19,1.941648483
59,2022-07-17 3:21,1.953334928
60,2022-07-17 3:23,1.951256275
61,2022-07-17 3:27,1.949186921
62,2022-07-17 3:30,1.952813745
63,2022-07-17 3:34,1.959217668
64,2022-07-17 3:36,1.956920385
65,2022-07-17 3:40,1.958616376
66,2022-07-17 3:41,1.963565111
67,2022-07-17 3:46,1.965956569
68,2022-07-17 3:50,1.954551458
69,2022-07-17 3:53,1.952656865
70,2022-07-17 3:58,1.951369524
71,2022-07-17 3:59,1.949648023
72,2022-07-17 4:04,1.949430108
73,2022-07-17 4:06,1.951141238
74,2022-07-17 4:11,1.954498291
75,2022-07-17 4:12,1.95638752
76,2022-07-17 4:17,1.958245039
77,2022-07-17 4:19,1.951087594
78,2022-07-17 4:21,1.946274877
79,2022-07-17 4:26,1.949686646
80,2022-07-17 4:27,1.950092912
81,2022-07-17 4:29,1.944864273
82,2022-07-17 4:34,1.951343179
83,2022-07-17 4:40,1.948752165
84,2022-07-17 4:45,1.945835233
85,2022-07-17 4:46,1.952463508
86,2022-07-17 4:51,1.955860257
87,2022-07-17 4:53,1.955385208
88,2022-07-17 5:02,1.941452622
89,2022-07-17 5:05,1.956586361
90,2022-07-17 5:09,1.958044767
91,2022-07-17 5:13,1.948073626
92,2022-07-17 5:14,1.949799657
93,2022-07-17 5:20,1.943617225
94,2022-07-17 5:22,1.939796448
95,2022-07-17 5:26,1.954042792
96,2022-07-17 5:28,1.946406603
97,2022-07-17 5:33,1.943843603
98,2022-07-17 5:34,1.949268341
99,2022-07-17 5:39,1.955348969
100,2022-07-17 5:41,1.95881176
101,2022-07-17 5:47,1.949940324
102,2022-07-17 5:49,1.960723042
103,2022-07-17 5:54,1.958339572
104,2022-07-17 5:57,1.94780159
105,2022-07-17 6:01,1.949742317
106,2022-07-17 6:07,1.950173497
107,2022-07-17 6:16,1.947232008
108,2022-07-17 6:18,1.948634982
109,2022-07-17 6:25,1.946024299
110,2022-07-17 6:27,1.949384928
111,2022-07-17 6:28,1.953866839
112,2022-07-17 6:33,1.952464104
113,2022-07-17 6:35,1.956741929
114,2022-07-17 6:40,1.952202916
115,2022-07-17 6:42,1.957046986
116,2022-07-17 6:48,1.957999587
117,2022-07-17 6:54,1.954185009
118,2022-07-17 6:57,1.948794842
119,2022-07-17 6:59,1.947824717
120,2022-07-17 7:03,1.973073721
121,2022-07-17 7:04,1.948878288
122,2022-07-17 7:06,1.948945642
123,2022-07-17 7:11,1.956100225
124,2022-07-17 7:12,1.952837706
125,2022-07-17 7:14,1.961132765
126,2022-07-17 7:20,1.953740239
127,2022-07-17 7:22,1.959139824
128,2022-07-17 7:31,1.97763741
129,2022-07-17 7:33,1.965733409
130,2022-07-17 7:34,1.981067181
131,2022-07-17 7:38,1.977376819
132,2022-07-17 7:41,1.963538051
133,2022-07-17 7:46,1.963999867
134,2022-07-17 7:49,1.965663671
135,2022-07-17 7:54,1.959195137
136,2022-07-17 7:58,1.972423673
137,2022-07-17 8:03,1.957755685
138,2022-07-17 8:08,1.95971477
139,2022-07-17 8:10,1.980936408
140,2022-07-17 8:16,1.980270743
141,2022-07-17 8:21,1.958366394
142,2022-07-17 8:23,1.964516163
143,2022-07-17 8:25,1.969564438
144,2022-07-17 8:30,1.979528308
145,2022-07-17 8:35,1.981244326
146,2022-07-17 8:36,1.977637887
147,2022-07-17 8:38,1.980392098
148,2022-07-17 8:44,1.976382375
149,2022-07-17 8:55,1.970570922
150,2022-07-17 8:57,1.979516506
151,2022-07-17 9:09,1.968854308
152,2022-07-17 9:11,1.978290558
153,2022-07-17 9:19,1.97853899
154,2022-07-17 9:21,1.912197113
155,2022-07-17 9:23,1.903016925
156,2022-07-17 9:27,1.899534941
157,2022-07-17 9:32,1.907540083
158,2022-07-17 9:33,1.91928041
159,2022-07-17 9:38,1.898350358
