idx,lineno,itemno,Order_date,day_night_type,product_date,quantity,cnt
55644910,1200,73721-G6000-100,44783,1,2022-08-10 8:40,2,18134146
55644913,1200,73721-G6000-100,44783,1,2022-08-10 8:40,3,18134149
55644914,1200,73721-G6000-100,44783,1,2022-08-10 8:41,3,18134152
55644918,1200,73721-G6000-100,44783,1,2022-08-10 8:41,3,18134155
55644921,1200,73721-G6000-100,44783,1,2022-08-10 8:41,3,18134158
55644923,1200,73721-G6000-100,44783,1,2022-08-10 8:42,3,18134161
55644925,1200,73721-G6000-100,44783,1,2022-08-10 8:42,2,18134163
55644927,1200,73721-G6000-100,44783,1,2022-08-10 8:43,3,18134166
55644930,1200,73721-G6000-100,44783,1,2022-08-10 8:43,3,18134169
55644931,1200,73721-G6000-100,44783,1,2022-08-10 8:43,3,18134172
55644934,1200,73721-G6000-100,44783,1,2022-08-10 8:44,3,18134175
55644935,1200,73721-G6000-100,44783,1,2022-08-10 8:44,3,18134178
55644937,1200,73721-G6000-100,44783,1,2022-08-10 8:44,2,18134180
55644939,1200,73721-G6000-100,44783,1,2022-08-10 8:45,3,18134183
55644941,1200,73721-G6000-100,44783,1,2022-08-10 8:45,3,18134186
55644943,1200,73721-G6000-100,44783,1,2022-08-10 8:46,3,18134189
55644945,1200,73721-G6000-100,44783,1,2022-08-10 8:46,3,18134192
55644948,1200,73721-G6000-100,44783,1,2022-08-10 8:46,3,18134195
55644950,1200,73721-G6000-100,44783,1,2022-08-10 8:47,3,18134198
55644952,1200,73721-G6000-100,44783,1,2022-08-10 8:47,2,18134200
55644954,1200,73721-G6000-100,44783,1,2022-08-10 8:47,3,18134203
55644956,1200,73721-G6000-100,44783,1,2022-08-10 8:48,3,18134206
55644958,1200,73721-G6000-100,44783,1,2022-08-10 8:48,3,18134209
55644960,1200,73721-G6000-100,44783,1,2022-08-10 8:49,3,18134212
55644962,1200,73721-G6000-100,44783,1,2022-08-10 8:49,3,18134215
55644964,1200,73721-G6000-100,44783,1,2022-08-10 8:49,2,18134217
55644967,1200,73721-G6000-100,44783,1,2022-08-10 8:50,3,18134220
55644969,1200,73721-G6000-100,44783,1,2022-08-10 8:50,3,18134223
55644971,1200,73721-G6000-100,44783,1,2022-08-10 8:50,3,18134226
55644973,1200,73721-G6000-100,44783,1,2022-08-10 8:51,3,18134229
