itemno,qty,machine,current
9,1,amp_1,0.0
9,1,amp_2,2.7231700370994893
9,1,amp_3,0.0
9,1,amp_4,0.0
9,1,amp_5,1.230224609375
9,1,amp_6,0.6818313002586365
9,2,amp_1,0.0
9,2,amp_2,2.7231700370994893
9,2,amp_3,0.0
9,2,amp_4,0.0
9,2,amp_5,1.298583984375
9,2,amp_6,0.7488590478897095
9,3,amp_1,0.0
9,3,amp_2,2.7231700370994893
9,3,amp_3,0.0
9,3,amp_4,0.0
9,3,amp_5,1.366943359375
9,3,amp_6,0.8158868551254272
9,4,amp_1,0.0
9,4,amp_2,2.7231700370994893
9,4,amp_3,0.0
9,4,amp_4,0.0
9,4,amp_5,1.435546875
9,4,amp_6,0.882914662361145
9,5,amp_1,0.0
9,5,amp_2,2.8375036767289608
9,5,amp_3,0.0
9,5,amp_4,0.0
9,5,amp_5,1.50390625
9,5,amp_6,0.949942409992218
9,6,amp_1,0.0
9,6,amp_2,2.8375036767289608
9,6,amp_3,0.0
9,6,amp_4,0.0
9,6,amp_5,1.572265625
9,6,amp_6,1.016970157623291
9,7,amp_1,0.0
9,7,amp_2,2.7497739034513593
9,7,amp_3,0.0
9,7,amp_4,0.0
9,7,amp_5,1.640625
9,7,amp_6,1.0839979648590088
9,8,amp_1,0.0
9,8,amp_2,2.6767019882048273
9,8,amp_3,0.0
9,8,amp_4,0.0
9,8,amp_5,1.708984375
9,8,amp_6,1.1510257720947266
9,9,amp_1,0.0
9,9,amp_2,2.6767019882048273
9,9,amp_3,0.0
9,9,amp_4,0.0
9,9,amp_5,1.77734375
9,9,amp_6,1.2180535793304443
9,10,amp_1,0.0
9,10,amp_2,2.6767019882048273
9,10,amp_3,0.0
9,10,amp_4,0.0
9,10,amp_5,1.845703125
9,10,amp_6,1.285081386566162
9,11,amp_1,0.0
9,11,amp_2,2.6767019882048273
9,11,amp_3,0.0
9,11,amp_4,0.0
9,11,amp_5,1.9140625
9,11,amp_6,1.3521091938018799
9,12,amp_1,0.0
9,12,amp_2,2.6767019882048273
9,12,amp_3,0.0
9,12,amp_4,0.0
9,12,amp_5,1.982666015625
9,12,amp_6,1.4191370010375977
9,13,amp_1,0.0
9,13,amp_2,2.6767019882048273
9,13,amp_3,0.0
9,13,amp_4,0.0
9,13,amp_5,2.051025390625
9,13,amp_6,1.4861646890640259
9,14,amp_1,0.0
9,14,amp_2,2.6767019882048273
9,14,amp_3,0.0
9,14,amp_4,0.0
9,14,amp_5,2.119384765625
9,14,amp_6,1.5531924962997437
9,15,amp_1,0.0
9,15,amp_2,2.6767019882048273
9,15,amp_3,0.0
9,15,amp_4,0.0
9,15,amp_5,2.187744140625
9,15,amp_6,1.6202201843261719
9,16,amp_1,0.0
9,16,amp_2,2.6767019882048273
9,16,amp_3,0.0
9,16,amp_4,0.0
9,16,amp_5,2.256103515625
9,16,amp_6,1.6872479915618896
9,17,amp_1,0.0
9,17,amp_2,2.6767019882048273
9,17,amp_3,0.0
9,17,amp_4,0.0
9,17,amp_5,2.324462890625
9,17,amp_6,1.7542757987976074
9,18,amp_1,0.0
9,18,amp_2,2.6767019882048273
9,18,amp_3,0.0
9,18,amp_4,0.0
9,18,amp_5,2.392822265625
9,18,amp_6,1.8213036060333252
9,19,amp_1,0.0
9,19,amp_2,2.6767019882048273
9,19,amp_3,0.0
9,19,amp_4,0.0
9,19,amp_5,2.461181640625
9,19,amp_6,1.888331413269043
9,20,amp_1,0.0
9,20,amp_2,2.6767019882048273
9,20,amp_3,0.0
9,20,amp_4,0.0
9,20,amp_5,2.52978515625
9,20,amp_6,1.9553592205047607
9,21,amp_1,0.0
9,21,amp_2,2.6767019882048273
9,21,amp_3,0.0
9,21,amp_4,0.0
9,21,amp_5,2.59814453125
9,21,amp_6,2.0223870277404785
9,22,amp_1,0.0
9,22,amp_2,2.6767019882048273
9,22,amp_3,0.0
9,22,amp_4,0.0
9,22,amp_5,2.66650390625
9,22,amp_6,2.0894148349761963
9,23,amp_1,0.0
9,23,amp_2,2.6767019882048273
9,23,amp_3,0.0
9,23,amp_4,0.0
9,23,amp_5,2.73486328125
9,23,amp_6,2.156442642211914
9,24,amp_1,0.0
9,24,amp_2,2.6767019882048273
9,24,amp_3,0.0
9,24,amp_4,0.0
9,24,amp_5,2.80322265625
9,24,amp_6,2.223470449447632
9,25,amp_1,0.0
9,25,amp_2,2.6767019882048273
9,25,amp_3,0.0
9,25,amp_4,0.0
9,25,amp_5,2.87158203125
9,25,amp_6,2.2904980182647705
9,26,amp_1,0.0
9,26,amp_2,2.6767019882048273
9,26,amp_3,0.0
9,26,amp_4,0.0
9,26,amp_5,2.93994140625
9,26,amp_6,2.3575258255004883
9,27,amp_1,0.0
9,27,amp_2,2.6767019882048273
9,27,amp_3,0.0
9,27,amp_4,0.0
9,27,amp_5,3.00830078125
9,27,amp_6,2.424553632736206
9,28,amp_1,0.0
9,28,amp_2,2.6767019882048273
9,28,amp_3,0.0
9,28,amp_4,0.0
9,28,amp_5,3.076904296875
9,28,amp_6,2.491581439971924
9,29,amp_1,0.0
9,29,amp_2,2.6767019882048273
9,29,amp_3,0.0
9,29,amp_4,0.0
9,29,amp_5,3.145263671875
9,29,amp_6,2.5586092472076416
9,30,amp_1,0.0
9,30,amp_2,2.6767019882048273
9,30,amp_3,0.0
9,30,amp_4,0.0
9,30,amp_5,3.213623046875
9,30,amp_6,2.6256370544433594
9,31,amp_1,0.0
9,31,amp_2,2.6767019882048273
9,31,amp_3,0.0
9,31,amp_4,0.0
9,31,amp_5,3.281982421875
9,31,amp_6,2.692664861679077
9,32,amp_1,0.0
9,32,amp_2,2.6767019882048273
9,32,amp_3,0.0
9,32,amp_4,0.0
9,32,amp_5,3.350341796875
9,32,amp_6,2.759692668914795
9,33,amp_1,0.0
9,33,amp_2,2.6767019882048273
9,33,amp_3,0.0
9,33,amp_4,0.0
9,33,amp_5,3.418701171875
9,33,amp_6,2.8267204761505127
9,34,amp_1,0.0
9,34,amp_2,2.6767019882048273
9,34,amp_3,0.0
9,34,amp_4,0.0
9,34,amp_5,3.487060546875
9,34,amp_6,2.8937482833862305
9,35,amp_1,0.0
9,35,amp_2,2.6767019882048273
9,35,amp_3,0.0
9,35,amp_4,0.0
9,35,amp_5,3.5556640625
9,35,amp_6,2.9607760906219482
9,36,amp_1,0.0
9,36,amp_2,2.6767019882048273
9,36,amp_3,0.0
9,36,amp_4,0.0
9,36,amp_5,3.6240234375
9,36,amp_6,3.027803897857666
9,37,amp_1,0.0
9,37,amp_2,2.6767019882048273
9,37,amp_3,0.0
9,37,amp_4,0.0
9,37,amp_5,3.6923828125
9,37,amp_6,3.094831705093384
9,38,amp_1,0.0
9,38,amp_2,2.6767019882048273
9,38,amp_3,0.0
9,38,amp_4,0.0
9,38,amp_5,3.7607421875
9,38,amp_6,3.1618592739105225
9,39,amp_1,0.0
9,39,amp_2,2.6767019882048273
9,39,amp_3,0.0
9,39,amp_4,0.0
9,39,amp_5,3.8291015625
9,39,amp_6,3.2288870811462402
9,40,amp_1,0.0
9,40,amp_2,2.6767019882048273
9,40,amp_3,0.0
9,40,amp_4,0.0
9,40,amp_5,3.8974609375
9,40,amp_6,3.295914888381958
9,41,amp_1,0.0
9,41,amp_2,2.6767019882048273
9,41,amp_3,0.0
9,41,amp_4,0.0
9,41,amp_5,3.9658203125
9,41,amp_6,3.362942695617676
9,42,amp_1,0.0
9,42,amp_2,2.6767019882048273
9,42,amp_3,0.0
9,42,amp_4,0.0
9,42,amp_5,4.0341796875
9,42,amp_6,3.4299705028533936
9,43,amp_1,0.0
9,43,amp_2,2.6767019882048273
9,43,amp_3,0.0
9,43,amp_4,0.0
9,43,amp_5,4.102783203125
9,43,amp_6,3.4969983100891113
9,44,amp_1,0.0
9,44,amp_2,2.6767019882048273
9,44,amp_3,0.0
9,44,amp_4,0.0
9,44,amp_5,4.171142578125
9,44,amp_6,3.564026117324829
9,45,amp_1,0.0
9,45,amp_2,2.6767019882048273
9,45,amp_3,0.0
9,45,amp_4,0.0
9,45,amp_5,4.239501953125
9,45,amp_6,3.631053924560547
9,46,amp_1,0.0
9,46,amp_2,2.6767019882048273
9,46,amp_3,0.0
9,46,amp_4,0.0
9,46,amp_5,4.307861328125
9,46,amp_6,3.6980817317962646
9,47,amp_1,0.0
9,47,amp_2,2.6767019882048273
9,47,amp_3,0.0
9,47,amp_4,0.0
9,47,amp_5,4.376220703125
9,47,amp_6,3.7651095390319824
9,48,amp_1,0.0
9,48,amp_2,2.6767019882048273
9,48,amp_3,0.0
9,48,amp_4,0.0
9,48,amp_5,4.444580078125
9,48,amp_6,3.8321373462677
9,49,amp_1,0.0
9,49,amp_2,2.6767019882048273
9,49,amp_3,0.0
9,49,amp_4,0.0
9,49,amp_5,4.512939453125
9,49,amp_6,3.899164915084839
9,50,amp_1,0.0
9,50,amp_2,2.6767019882048273
9,50,amp_3,0.0
9,50,amp_4,0.0
9,50,amp_5,4.581298828125
9,50,amp_6,3.9661927223205566
9,51,amp_1,0.0
9,51,amp_2,2.6767019882048273
9,51,amp_3,0.0
9,51,amp_4,0.0
9,51,amp_5,4.64990234375
9,51,amp_6,4.033220291137695
9,52,amp_1,0.0
9,52,amp_2,2.6767019882048273
9,52,amp_3,0.0
9,52,amp_4,0.0
9,52,amp_5,4.71826171875
9,52,amp_6,4.100248336791992
